gene_symbol,PEMN_1,PEMN_2,PEMN_3,PEMN_4,PIMN_1,PIMN_2,PIMN_3,PIMN_4,PIMN_5,PIN_1,PIN_2,PSN,PSVN_1,PSVN_2,Glia_1,Glia_2,Glia_3,Glia_4,Glia_5,Glia_6
A1BG,2149,5559,4982,3544,7683,8976,12203,5689,9570,9564,9991,14458,6115,13630,4768,7018,9827,6950,5433,5283
A1BG-AS1,2425,2016,5174,3265,12864,10961,11647,6878,14304,4687,2687,13967,9319,14524,5082,7091,8093,7924,10413,6980
A1CF,10578,1062,8454,10469,16059,11583,402,2577,4680,15999,6719,6485,8657,1029,13153,14176,10270,14445,10988,10316
A2M,9874,15485,3269,8437,12491,13346,5592,7199,14345,15480,9085,2378,4097,2272,7278,10602,5995,2755,9355,5689
A2ML1,14275,4965,3122,12780,6764,13955,3974,5035,12496,14198,6780,6587,14525,11271,2684,2660,1809,6494,1582,1785
A3GALT2,3635,153,15058,12243,10509,15943,5184,483,5973,5443,13808,2718,10793,9620,11472,5784,7712,12934,9256,14093
A4GALT,5155,8832,11657,3282,12061,6861,14775,10990,8848,9319,7958,12858,4612,4338,3724,7052,5904,6699,7077,6262
AAAS,10117,5662,14062,3980,10001,13288,5371,11554,11321,10780,11958,3448,7554,13393,1739,3813,1617,8105,1451,2822
AACS,8632,5650,10340,7916,8155,5096,10656,6290,7097,7707,14193,11230,15024,12482,1771,2967,736,2731,3888,3476
AADAC,527,290,3720,13405,11055,10657,14495,503,13892,257,908,13653,15400,1070,12597,15069,14113,16182,15266,12833
AADACL3,1191,14625,5896,7712,8551,12535,1235,4372,16114,9635,1570,11728,1699,1673,14295,12063,13075,14310,11261,11179
AADACL4,15557,1547,6034,1304,14341,685,495,9198,453,1025,16246,6682,4382,2778,15471,14598,15217,15637,13883,15152
AADAT,12494,15470,11379,11444,14145,6637,2170,9666,11877,9347,10706,5647,14104,9599,617,551,1760,1111,765,2732
AAED1,1296,9509,10493,8050,4515,4225,12986,10087,10805,9987,13504,7452,1554,12791,294,513,911,2706,13274,14769
AAGAB,7150,10198,9036,9272,11033,4435,10522,12923,6596,13210,10216,11150,12210,7023,7204,772,1831,1736,4051,4673
AAK1,12825,11899,8514,10731,13674,9330,9450,12711,11722,7383,13425,4925,12961,10290,314,753,222,1637,595,337
AAMDC,4332,6403,8712,8630,8139,11690,11656,7568,12069,13145,2143,9141,13684,10759,5182,5572,2961,6345,3966,1329
AAMP,7015,6970,11997,5313,5264,8606,12232,6613,4244,14297,7591,11969,5452,9737,4392,6099,5020,10061,4243,8473
AANAT,14061,13974,5168,13254,10943,14058,14893,356,8745,6456,3388,8176,6935,10654,1686,6597,3345,12241,2824,1420
AAR2,4957,6593,5372,11979,5416,10525,4554,7080,7692,15285,8011,12361,7979,5763,4912,6179,7477,7844,8257,5256
AARD,5571,2275,6777,2926,3281,13888,2268,628,2161,10556,10444,14743,16160,1228,12251,13160,12530,14993,12858,12126
AARS,11850,13178,12880,7097,3429,7859,9916,9438,9491,11422,12153,7253,10155,11013,1098,2997,1258,3936,1463,1964
AARS2,6489,2832,3034,10378,4868,5393,8724,4395,5867,8513,13216,4593,15338,16092,6036,8661,5682,7480,5494,4954
AASDH,11359,13661,8250,10552,15104,9671,8060,13317,11962,9466,11102,7648,12326,5121,3496,244,832,1160,176,2130
AASDHPPT,5697,4729,11593,2155,7686,1635,13699,14634,1445,6040,7805,15196,3985,8144,11225,11947,11871,8880,9874,10269
AASS,1676,4118,15722,16231,11399,2225,1650,5353,4646,1482,14655,762,1771,2484,15108,15062,14354,9107,15536,15322
AATF,7282,9464,4502,10079,8281,12158,8814,3281,11881,14809,4875,10009,6368,11570,11075,3772,7486,5791,6023,2142
AATK,1172,9414,14548,8005,1836,2240,9006,12642,1115,4779,12823,14601,5509,7341,12661,14275,14992,3531,8709,3737
ABAT,4794,4239,13328,9805,12104,10037,14198,14362,13183,8446,7328,7393,1060,4015,5968,5337,5642,5761,4538,6814
